url                                                                                                  ,name                                                                  ,categories                                                                                                                ,description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,start_date             ,end_date               ,starting_price ,venue_name                              ,venue_address
https://www.londontheatre.co.uk/show/25118-abba-voyage                                               ,ABBA Voyage Tickets                                                   ,"['Concerts', 'Jukebox', 'Off West End', 'Classical', 'Contemporary']"                                                    ,"Journey through the music of ABBA and attend this unique concert experience at the bespoke ABBA Arena in London.ABBA Voyagetickets are available on London Theatre now. See original ABBA members Agnetha Fältskog, Björn Ulvaeus, Benny Andersson, and Anni-Frid Lyngstad take the stage in the form of avatars in this mesmerising feat of technology. Dance the night away to a selection of ABBA’s most iconic tunes, including “Dancing Queen,” “Mamma Mia,” and “The Winner Takes It All.” A 10-piece live band elevates the experience, performing alongside the holograms on stage.Abba Voyageis a unique opportunity to experience ABBA in concert like never before. ABBA made an unforgettable mark on the global music scene when they triumphed at the 1974 Eurovision Song Contest with their hit single “Waterloo.” Since then, they've established themselves as one of history's most successful pop groups. Using motion capture technology, a team of visual effects artists captured ABBA's performances over five weeks using 160 cameras.Our critic raves in a five-star review on London Theatre that“the end result is sublime, defining the phrase ‘needs to be seen to be believed.’” Audiences will be amazed by the realistic holograms of ABBA in this spectacle concert experience. Baillie Walsh (Springsteen & I) directsABBA Voyagewith visual effects by Industrial Light & Magic, known for their work with LucasFilm and the Marvel Cinematic Universe. The creative team also includes choreographer Wayne McGregor and lighting designer Matthieu Debay. ABBA Voyageincludes twenty of ABBA’s most iconic songs in one electrifying evening. Experience hits like “Fernando” and “Voulez-Vous,” as well as new songs from their most recently released album, “Voyage.”Find out more about some of the songs inABBA Voyage. ABBA Voyageis a unique concert experience that takes place in the ABBA Arena located at Queen Elizabeth Olympic Park in London, close to Stratford train station. This purpose-built arena provides the ideal setting for the concert, with its distinctive shape offering audience members a fully immersive experience.ABBA Voyageis poised to remain in London for the foreseeable future, allowing you to enjoy the concert as often as you'd like. Performances are scheduled seven times a week on Monday, Thursday, Friday, Saturday, and Sunday. Get closer to the action with our Dance Floor tickets. These tickets are for standing (or dancing) only, so you’ll be closer to the stage than anyone else and free to dance anywhere within the area. Please note: The concert involves the use of extensive flashing lights, kinetic lighting, lasers and strobing light effects. Book yourABBA Voyagetickets on London Theatre today."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"27th May, 2022"       ,"27th October, 2025"   ,               ,ABBA Arena                              ,"Pudding Mill Lane, London, United Kingdom, E15 2PJ"
https://www.londontheatre.co.uk/show/21176-harry-potter-and-the-cursed-child-parts-one-two           ,Harry Potter And The Cursed Child: Both Parts Tickets                 ,"['Plays', 'Boxing Day', 'Drama', 'Family / Kid-friendly', 'Adventure', 'Award winners', 'West End', 'Sci Fi / Fantasy']" ,"Mischief managed! The Hogwarts magic continues with the next part of the Harry Potter story.Harry Potter and the Cursed Childtickets are available on London Theatre now. Harry Potter and the Cursed Childis a new play by Jack Thorne, based on original ideas by Thorne, J.K. Rowling, and John Tiffany, It is the eighth story in the Harry Potter series and the first official Harry Potter story to be presented on stage. The critically acclaimed production is the most awarded new play in theatre history.Harry Potter and the Cursed Childhas won 24 major theatre awards in the UK and is the most awarded play in the history of the Olivier Awards, winning a record-breaking nine awards including Best New Play. The production has also won 25 major US awards with six Tony Awards including Best Play and is now running at the Palace Theatre in London's West End. TheHarry Potter and the Cursed Childplay continues from the films. Adventure runs in the family. When Harry Potter’s head-strong son Albus befriends the son of his fiercest rival, Draco Malfoy, it sparks an unbelievable new journey for them all—with the power to change the past and future forever. Prepare for a mind-blowing race through time, spectacular spells, and an epic battle, all brought to life with the most astonishing theatrical magic ever seen on stage. This is a fitting eighth story to theHarry Potterfranchise that's equal parts epic and spellbinding. In order to tell the story in full, it is told across two Parts, and audiences are encouraged to see the two Parts together. In conjunction with theHarry Potter and the Cursed Childplay premiere, the script was published and sold over 2 million copies in the first two days of release in North America, and over 800,000 copies in its first week in the UK. Currently, there are no plans to turn theHarry Potter and the Cursed Childinto a movie. The best way to discover what happens to Harry Potter and visit Hogwarts to watchHarry Potter and the Cursed Childin London. Tickets toHarry Potter and the Cursed Childare available now. Book yourHarry Potter and the Cursed Childtickets on London Theatre today. Assisted Perfromances:Audio Described, 17th May 2025Captioned, 7th June 2025"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"14th October, 2021"   ,"29th June, 2025"      ,               ,Palace Theatre                          ,"113 Shaftesbury Ave, London, United Kingdom, W1D 5AY"
https://www.londontheatre.co.uk/show/302-the-lion-king                                               ,The Lion King Tickets                                                 ,"['Musicals', 'Drama', 'Family / Kid-friendly', 'Adventure', 'Award winners', 'West End']"                                ,"Witness the circle of life in Disney’s long-running and multi-award-winning musical in London’s West End at the Lyceum Theatre.The Lion Kingtickets are available on London Theatre now. Adapted from the 1994 film,The Lion Kingis one of the most successful stage musicals in history. Director and designer Julie Taymor crafts a colourful, imaginative, and highly creative world that brings Africa's flora, fauna, and animals to life using clever puppetry set against a timeless score by Elton John and Tim Rice.The Lion Kingmusical is unlike anything seen in musical theatre before and will redefine your expectations of what theatre can be. The Lion Kingis about a young lion cub named Simba. He’s the prince and heir of Pride Rock. During the musical, Simba goes on a life-changing journey through the Pride Lands but must defeat Mufasa’s brother Scar who dreams of ascending to the throne. Can Simba face the world and roar louder than ever before? The Lion Kingis an incredible experience for the whole family. Over 200 puppets bring the majesty of the Serengeti Plains and the evocative rhythms of Africa to life, set against a timeless score by Elton John and Tim Rice, with beloved songs like “Can You Feel the Love Tonight,” and “I Just Can’t Wait to Be King.” The Lion Kingsongs incorporate six different African languages: Swahili, Zulu, Xhosa, Sotho, Tswana, and Congolese, into the lyrics. The first line of “Circle of Life” says, “Nants ingonyama bagithi baba”, translating to “There’s a lion, father”. Lebo M, Julie Taymor, Mark Mancina and Hans Zimmer provide original songs for the musical. In a five-star review on London Theatre, our critic raves:“The Lion Kingis an outstanding creative and emotional musical and will no doubt remain the King of the West End for many years to come.” Book yourThe Lion Kingtickets on London Theatre today."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"18th August, 2021"    ,"26th October, 2025"   ,               ,Lyceum Theatre                          ,"21 Wellington Street, London, United Kingdom, WC2E 7RQ"
https://www.londontheatre.co.uk/show/20561-hamilton                                                  ,Hamilton Tickets                                                      ,"['Musicals', 'Drama', 'History', 'Award winners', 'West End', 'Biography']"                                              ,"Be in the room where it happens and seeHamiltonin London’s West End at the Victoria Palace Theatre.Hamiltontickets are available on London Theatre now. Lin-Manuel Miranda’s groundbreaking musical centres on the life of one of America’s founding fathers, Alexander Hamilton, who was a key figure in shaping the nation. The award-winning hit features a mash-up of hip-hop, R&B, and soul songs performed by a diverse cast. Orphaned at a young age, Hamilton moved to New York in the hope of a better life. While there, there he impressed those around him with his hunger for revolution and reform. The story sees Hamilton become George Washington's right-hand man, fall in love, and go on to become the first Secretary of the Treasury of the United States. The seeds for theHamiltonmusical were planted when composer Lin-Manuel Miranda purchased a copy of Ron Chernow's biography,Alexander Hamilton. Within a few pages, Miranda started to envision the revolutionary's life in musical form and embarked on the project in 2009 by penningThe Hamilton Mixtape— a number of songs that would later go on to form the show. During this time, he was invited to the White House to perform at an evening of Poetry, Music, and Spoken Word in front of President Barack Obama and the First Lady. He treated audiences to the song ""Alexander Hamilton"", which was met with scattered laughter from the crowd. After workshopping the mixtape,Hamiltonfinally received its Off-Broadway premiere at the Public Theater in 2015 before later transferring to Broadway at the Richard Rodgers Theatre. Hamiltonhas left a major impression on audiences since it first premiered Off-Broadway in 2015. The show offers a unique perspective of one of the lesser-known founding fathers using an innovative approach to make the story more relevant and engaging to a modern audience with its infusion of hip-hop and rap and commitment to diverse casting. The musical won the 2016 Pulitzer Prize for Drama, making it the first musical to win the award since 2010 and the 9th musical to win the accolade since 1930.Hamiltonwent on to win 11 Tony Awards, six Olivier Awards, and the Grammy Award for Best Musical Theater Album. In a five-star review on London Theatre, our critic raves:“Just as Les Miserables has proved to be a universal story, stretching far beyond its deeply etched story of revenge, retribution and revolution to speak to a human need for healing and forgiveness, so Hamilton captures the heartbeat and heartbreak of a nation trying to find itself - and relates it directly to a pursuit it is still engaged in trying to define anew today” Lin-Manuel Miranda wrote theHamiltonmusical. His Hamilton score features a fusion of emotive songs that combine hip-hop, R&B, soul, and classical musical theatre numbers, while the musical is entirely sung-through by its cast. Since its premiere, Hamilton shot into the public consciousness. It won 11 Tony Awards, including Outstanding Musical and all four acting categories. London welcomed the West End production ofHamiltonin 2017 at the newly refurbished Victoria Palace Theatre. The musical won a record-equalling seven Olivier Awards, including Best Musical and Outstanding Achievement in Music.Hamiltonin London has well and truly found a second home. Book yourHamiltontickets on London Theatre today."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,"19th August, 2021"    ,"27th September, 2025" ,               ,Victoria Palace Theatre                 ,"Victoria Palace, 79 Victoria Street, London, United Kingdom, SW1E 5EA"
https://www.londontheatre.co.uk/show/333-mousetrap                                                   ,The Mousetrap Tickets                                                 ,"['Plays', 'Boxing Day', 'Drama', 'Crime / Thriller / Mystery', 'Classic', 'West End']"                                   ,"Agatha Christie's legendary whodunnit still delights and thrills audiences in London's West End at the St. Martin’s Theatre. Think you've got what it takes to solve the murder mystery?The Mousetraptickets are available on London Theatre now. Agatha Christie’s record-breaking playThe Mousetraphas been puzzling audiences for over 70 years as the longest-running show in the West End. Can you crack the case before it’s too late?The Mousetrapis a classic whodunnit that is a must-see for anyone visiting London who wants to see a historic piece of theatre or even if you’re just an amateur detective looking to put your skills to the test. Don’t forget to keep the murderer’s identity a secret! The Mousetrapplay follows a group of people gathered in a remote part of the countryside as they discover, to their horror, that there is a murderer in their midst. Who can it be? One by one, suspicious characters reveal their sordid pasts until, at the last nerve-shredding moment,  the play finally unveils the identity and the motive. An irresistible treat for amateur sleuths everywhere! This suspenseful murder mystery will keep you on the edge of your seat as the mystery unravels, layer by layer. A cohort of talented actors will keep you guessing with twists and turns around every corner. The ""Queen of Crime,” Agatha Christie, wrote 66 novels throughout her career and was awarded a damehood for services to literature. Her books have sold billions of copies worldwide - more than any other author after The Bible. She died on 12 January 1976, aged 85.Learn more about Agatha Christe's plays in London. She gave the rights to the stage play to her then nine-year-old grandson, Matthew Prichard. Visitors from all over the world continue to watchThe Mousetrapand become part of the historic story of the show, keeping the secret of the plot with them. Peter Saunders originally producedThe Mousetrapplay. He handed over responsibility for the show in 1994 to Mousetrap Productions, under the management of Sir Stephen Waley-Cohen.Discover what London was like whenThe Mousetrappremiered in 1952. The Mousetrapis the longest-running play of all time. The original production opened across the road at the Ambassadors Theatre on 25 November 1952. Since then,The Mousetrapis now translated into 27 different languages in more than 50 countries worldwide.The Mousetrapthen moved across the road to St. Martin's Theatre in 1974, where it's played ever since. Book yourThe Mousetraptickets on London Theatre today."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"6th June, 2021"       ,"27th September, 2025" ,               ,St. Martin's Theatre                    ,"West Street, London, United Kingdom, WC2H 9NZ"
https://www.londontheatre.co.uk/show/287-book-of-mormon                                              ,The Book of Mormon Tickets                                            ,"['Musicals', 'Comedy', 'Satire', 'West End']"                                                                            ,"Say hello to the Mormons and become an all-American prophet at this raucous comedy musical at the Prince of Wales Theatre in London’s West End.The Book of Mormontickets are available on London Theatre now. South Park creators Trey Parker and Matt Stone, known for their daring approach to pushing the boundaries on controversial topics, teamed up with Robert Lopez to co-writeThe Book of Mormon. Development began in 2003 when they conceived the idea of writing a musical based around Joseph Smith, the Church of Latter-Day Saints founder. Follow the journey of two missionaries who dream of serving in Orlando, only to be told they must serve in Uganda. While in Africa, they share their scriptures with the local community. The locals don’t care about what they have to say: AIDS, famine, and warlords pose a more significant threat. Join Elder Price and Elder Cunningham as they spread the gospel and attempt to make every day a latter day. While The Book of Mormon satirises the Christian denomination, it accurately sheds light on Mormon ideas and practices. It’s common for young men to serve a two-year mission and spread their faith worldwide — just like Elder Price and Elder Cunningham. The Book of Mormonhas delighted audiences for years with its irreverent humour and unapologetic wit. The show bravely tackles complex social commentary and dives into topics often considered taboo, set to catchy songs that you’ll be humming long after the curtain call. After winning nine Tony Awards on Broadway,The Book of Mormonopened in the West End at the Prince of Wales Theatre in 2013. The show arrived in London to instant success, winning four Olivier Awards, including Best New Musical.Find out more about The Book of Mormon in London. Book yourThe Book of Mormontickets on London Theatre today."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,"7th November, 2024"   ,"26th April, 2025"     ,               ,Prince of Wales Theatre                 ,"31 Coventry Street, London, United Kingdom, W1D 6AS"
https://www.londontheatre.co.uk/show/313-wicked                                                      ,Wicked Tickets                                                        ,"['Musicals', 'Family / Kid-friendly', 'Adventure', 'West End']"                                                          ,"Fall under Elphaba’s spell and witness theatre magic at the Apollo Victoria Theatre in London’s West End.Wickedtickets are available on London Theatre now. Wickedtells the untold story of Elphaba, the Wicked Witch of the West, and Glinda the Good Witch in one unforgettable show. Prepare to be amazed by the technical wizardry, dazzling costumes, show-stopping songs, and witty nods to L. Frank Baum’sThe Wizard of Oz. Even though it's one of the longest-running London musicals,Wickedcontinues redefining modern musical theatre for an entire generation, challenging our preconceptions of good and evil. What happened before Dorothy uttered that famous question ""there's no place like home""? Meet Elphaba and Glinda. One's a green-skinned witch, and the other's a preppy student who typically gets what she wants. The unlikely friendship of Elphaba and Glinda at Shiz University leads to a powerful tale of love, acceptance, and friendship that will speak to audiences of all ages and delight those familiar with the original wonderful story. The untold story of the Witches of Oz has captured the hearts of audiences for years with its exploration of universal themes like empowerment and friendship, led by two strong female leads. We follow them on their journey from unlikely friends at Shiz University to their respective destinies and the Wicked Witch of the West and Glinda the Good.Wickedreimagines the beloved story of Oz and provides a thought-provoking look at the complexities of good and evil, the power of redemption, and the enduring bonds of friendship. There's something for everyone in the show,with London Theatre saying:""Wickedleaves the audience with food for thought and also wanting more. It’s no wonder that the musical has captured the hearts of so many over the years and will continue to do so for many years to come.Wickedis certainly here to stay in the West End for good.” The musical features a score by multi-Grammy and Academy Award winner Stephen Schwartz. Stephen Schwartz created music for shows such asWicked, Pippin, GodspellandThe Prince of Egypt. Find out more about Stephen Schwartz. Book yourWickedtickets on London Theatre today."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"15th September, 2021" ,"4th January, 2026"    ,               ,Apollo Victoria Theatre                 ,"17 Wilton Road, London, United Kingdom, SW1V 1LG"
https://www.londontheatre.co.uk/show/23350-moulin-rouge-the-musical                                  ,Moulin Rouge! The Musical Tickets                                     ,"['Musicals', 'Drama', 'Jukebox', 'West End', 'Romance']"                                                                 ,"You can-can-can seeMoulin Rouge! The Musicalat the Piccadilly Theatre in London’s West End. Discover how the Academy Award-winning film is now a theatre spectacular for the ages.Moulin Rouge!tickets are available on London Theatre now. Adapted from Baz Luhrmann's original 2001 Oscar-winning film starring Nicole Kidman and Ewan McGregor,Moulin Rouge!, which picked up nine Academy Award nominations and was the first musical in 10 years to receive a nomination for Best Picture, was always destined for the stage. The pre-Broadway world premiere engagement wowed audiences in Boston before heading to the Al Hirschfeld Theatre on Broadway. The show’s music includes hits from some of the greatest artists of all time. From the film’s iconic classics like Elton John's ""Your Song"" and Nat King Cole's ""Nature Boy"", it also fuses contemporary classics in the famous ""Elephant Love Medley"", which seamlessly incorporates over 20 songs by the likes of The Beatles, U2, Elvis, Dolly Parton, Queen and more into a single euphoric moment of theatre. Set in the Montmartre Quarter in Paris, Moulin Rouge! The Musical is a luxurious, indulgent musical. As a lovesick writer named Christian takes his seat inside the Moulin Rouge, he's greeted by Satine. With a dazzling smile and an inviting manner, their lives epically collide as they grow closer together in an extravagant world where anything goes. Meet many characters, including the host of the Moulin Rouge, Harold Zidler; the brilliant and starving artist Toulouse-Lautrec; the greatest tango dancer - and gigolo - in all of Paris, Santiago; the tempting Nini; and The Duke of Monroth, the wealthy and entitled patron of the club who thinks he can buy anything he wants, including love. Moulin Rouge!is more than a stage show; it’s a spectacle for the ages. The Piccadilly Theatre exterior now boasts a large, red windmill in honour of the real Moulin Rouge Paris nightclub. Plus, there are eye-popping costumes, energetic choreography, and a pop-fuelled score, which masterfully weaves an iconic selection of contemporary pop music hits into the late-19th century Parisian setting. Get ready to feel your Freedom, Beauty, Truth, and Love.Discover all the pop songs inMoulin Rouge! The Musical. Book your Moulin Rouge! tickets on London Theatre today."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"12th November, 2021"  ,"24th May, 2025"       ,               ,Piccadilly Theatre                      ,"16 Denman Street, London, United Kingdom, W1D 7DY"
