url,name,categories,start_date,end_date,starting_price,venue_name,venue_address
https://www.londontheatre.co.uk/show/25118-abba-voyage                                               ,ABBA Voyage Tickets                                                   ,'Concerts',"27th May, 2022       ","27th October, 2025   ",               ,ABBA Arena                              ,"Pudding Mill Lane, London, United Kingdom, E15 2PJ"
https://www.londontheatre.co.uk/show/25118-abba-voyage                                               ,ABBA Voyage Tickets                                                   ,'Jukebox',"27th May, 2022       ","27th October, 2025   ",               ,ABBA Arena                              ,"Pudding Mill Lane, London, United Kingdom, E15 2PJ"
https://www.londontheatre.co.uk/show/25118-abba-voyage                                               ,ABBA Voyage Tickets                                                   ,'Off West End',"27th May, 2022       ","27th October, 2025   ",               ,ABBA Arena                              ,"Pudding Mill Lane, London, United Kingdom, E15 2PJ"
https://www.londontheatre.co.uk/show/25118-abba-voyage                                               ,ABBA Voyage Tickets                                                   ,'Classical',"27th May, 2022       ","27th October, 2025   ",               ,ABBA Arena                              ,"Pudding Mill Lane, London, United Kingdom, E15 2PJ"
https://www.londontheatre.co.uk/show/25118-abba-voyage                                               ,ABBA Voyage Tickets                                                   ,'Contemporary',"27th May, 2022       ","27th October, 2025   ",               ,ABBA Arena                              ,"Pudding Mill Lane, London, United Kingdom, E15 2PJ"
https://www.londontheatre.co.uk/show/21176-harry-potter-and-the-cursed-child-parts-one-two           ,Harry Potter And The Cursed Child: Both Parts Tickets                 ,'Plays',"14th October, 2021   ","29th June, 2025      ",               ,Palace Theatre                          ,"113 Shaftesbury Ave, London, United Kingdom, W1D 5AY"
https://www.londontheatre.co.uk/show/21176-harry-potter-and-the-cursed-child-parts-one-two           ,Harry Potter And The Cursed Child: Both Parts Tickets                 ,'Boxing Day',"14th October, 2021   ","29th June, 2025      ",               ,Palace Theatre                          ,"113 Shaftesbury Ave, London, United Kingdom, W1D 5AY"
https://www.londontheatre.co.uk/show/21176-harry-potter-and-the-cursed-child-parts-one-two           ,Harry Potter And The Cursed Child: Both Parts Tickets                 ,'Drama',"14th October, 2021   ","29th June, 2025      ",               ,Palace Theatre                          ,"113 Shaftesbury Ave, London, United Kingdom, W1D 5AY"
https://www.londontheatre.co.uk/show/21176-harry-potter-and-the-cursed-child-parts-one-two           ,Harry Potter And The Cursed Child: Both Parts Tickets                 ,'Family / Kid-friendly',"14th October, 2021   ","29th June, 2025      ",               ,Palace Theatre                          ,"113 Shaftesbury Ave, London, United Kingdom, W1D 5AY"
https://www.londontheatre.co.uk/show/21176-harry-potter-and-the-cursed-child-parts-one-two           ,Harry Potter And The Cursed Child: Both Parts Tickets                 ,'Adventure',"14th October, 2021   ","29th June, 2025      ",               ,Palace Theatre                          ,"113 Shaftesbury Ave, London, United Kingdom, W1D 5AY"
https://www.londontheatre.co.uk/show/21176-harry-potter-and-the-cursed-child-parts-one-two           ,Harry Potter And The Cursed Child: Both Parts Tickets                 ,'Award winners',"14th October, 2021   ","29th June, 2025      ",               ,Palace Theatre                          ,"113 Shaftesbury Ave, London, United Kingdom, W1D 5AY"
https://www.londontheatre.co.uk/show/21176-harry-potter-and-the-cursed-child-parts-one-two           ,Harry Potter And The Cursed Child: Both Parts Tickets                 ,'West End',"14th October, 2021   ","29th June, 2025      ",               ,Palace Theatre                          ,"113 Shaftesbury Ave, London, United Kingdom, W1D 5AY"
https://www.londontheatre.co.uk/show/21176-harry-potter-and-the-cursed-child-parts-one-two           ,Harry Potter And The Cursed Child: Both Parts Tickets                 ,'Sci Fi / Fantasy',"14th October, 2021   ","29th June, 2025      ",               ,Palace Theatre                          ,"113 Shaftesbury Ave, London, United Kingdom, W1D 5AY"
https://www.londontheatre.co.uk/show/302-the-lion-king                                               ,The Lion King Tickets                                                 ,'Musicals',"18th August, 2021    ","26th October, 2025   ",               ,Lyceum Theatre                          ,"21 Wellington Street, London, United Kingdom, WC2E 7RQ"
https://www.londontheatre.co.uk/show/302-the-lion-king                                               ,The Lion King Tickets                                                 ,'Drama',"18th August, 2021    ","26th October, 2025   ",               ,Lyceum Theatre                          ,"21 Wellington Street, London, United Kingdom, WC2E 7RQ"
https://www.londontheatre.co.uk/show/302-the-lion-king                                               ,The Lion King Tickets                                                 ,'Family / Kid-friendly',"18th August, 2021    ","26th October, 2025   ",               ,Lyceum Theatre                          ,"21 Wellington Street, London, United Kingdom, WC2E 7RQ"
https://www.londontheatre.co.uk/show/302-the-lion-king                                               ,The Lion King Tickets                                                 ,'Adventure',"18th August, 2021    ","26th October, 2025   ",               ,Lyceum Theatre                          ,"21 Wellington Street, London, United Kingdom, WC2E 7RQ"
https://www.londontheatre.co.uk/show/302-the-lion-king                                               ,The Lion King Tickets                                                 ,'Award winners',"18th August, 2021    ","26th October, 2025   ",               ,Lyceum Theatre                          ,"21 Wellington Street, London, United Kingdom, WC2E 7RQ"
https://www.londontheatre.co.uk/show/302-the-lion-king                                               ,The Lion King Tickets                                                 ,'West End',"18th August, 2021    ","26th October, 2025   ",               ,Lyceum Theatre                          ,"21 Wellington Street, London, United Kingdom, WC2E 7RQ"
https://www.londontheatre.co.uk/show/20561-hamilton                                                  ,Hamilton Tickets                                                      ,'Musicals',"19th August, 2021    ","27th September, 2025 ",               ,Victoria Palace Theatre                 ,"Victoria Palace, 79 Victoria Street, London, United Kingdom, SW1E 5EA"
https://www.londontheatre.co.uk/show/20561-hamilton                                                  ,Hamilton Tickets                                                      ,'Drama',"19th August, 2021    ","27th September, 2025 ",               ,Victoria Palace Theatre                 ,"Victoria Palace, 79 Victoria Street, London, United Kingdom, SW1E 5EA"
https://www.londontheatre.co.uk/show/20561-hamilton                                                  ,Hamilton Tickets                                                      ,'History',"19th August, 2021    ","27th September, 2025 ",               ,Victoria Palace Theatre                 ,"Victoria Palace, 79 Victoria Street, London, United Kingdom, SW1E 5EA"
https://www.londontheatre.co.uk/show/20561-hamilton                                                  ,Hamilton Tickets                                                      ,'Award winners',"19th August, 2021    ","27th September, 2025 ",               ,Victoria Palace Theatre                 ,"Victoria Palace, 79 Victoria Street, London, United Kingdom, SW1E 5EA"
https://www.londontheatre.co.uk/show/20561-hamilton                                                  ,Hamilton Tickets                                                      ,'West End',"19th August, 2021    ","27th September, 2025 ",               ,Victoria Palace Theatre                 ,"Victoria Palace, 79 Victoria Street, London, United Kingdom, SW1E 5EA"
https://www.londontheatre.co.uk/show/20561-hamilton                                                  ,Hamilton Tickets                                                      ,'Biography',"19th August, 2021    ","27th September, 2025 ",               ,Victoria Palace Theatre                 ,"Victoria Palace, 79 Victoria Street, London, United Kingdom, SW1E 5EA"
https://www.londontheatre.co.uk/show/333-mousetrap                                                   ,The Mousetrap Tickets                                                 ,'Plays',"6th June, 2021       ","27th September, 2025 ",               ,St. Martin's Theatre                    ,"West Street, London, United Kingdom, WC2H 9NZ"
https://www.londontheatre.co.uk/show/333-mousetrap                                                   ,The Mousetrap Tickets                                                 ,'Boxing Day',"6th June, 2021       ","27th September, 2025 ",               ,St. Martin's Theatre                    ,"West Street, London, United Kingdom, WC2H 9NZ"
https://www.londontheatre.co.uk/show/333-mousetrap                                                   ,The Mousetrap Tickets                                                 ,'Drama',"6th June, 2021       ","27th September, 2025 ",               ,St. Martin's Theatre                    ,"West Street, London, United Kingdom, WC2H 9NZ"
https://www.londontheatre.co.uk/show/333-mousetrap                                                   ,The Mousetrap Tickets                                                 ,'Crime / Thriller / Mystery',"6th June, 2021       ","27th September, 2025 ",               ,St. Martin's Theatre                    ,"West Street, London, United Kingdom, WC2H 9NZ"
https://www.londontheatre.co.uk/show/333-mousetrap                                                   ,The Mousetrap Tickets                                                 ,'Classic',"6th June, 2021       ","27th September, 2025 ",               ,St. Martin's Theatre                    ,"West Street, London, United Kingdom, WC2H 9NZ"
https://www.londontheatre.co.uk/show/333-mousetrap                                                   ,The Mousetrap Tickets                                                 ,'West End',"6th June, 2021       ","27th September, 2025 ",               ,St. Martin's Theatre                    ,"West Street, London, United Kingdom, WC2H 9NZ"
https://www.londontheatre.co.uk/show/287-book-of-mormon                                              ,The Book of Mormon Tickets                                            ,'Musicals',"7th November, 2024   ","26th April, 2025     ",               ,Prince of Wales Theatre                 ,"31 Coventry Street, London, United Kingdom, W1D 6AS"
https://www.londontheatre.co.uk/show/287-book-of-mormon                                              ,The Book of Mormon Tickets                                            ,'Comedy',"7th November, 2024   ","26th April, 2025     ",               ,Prince of Wales Theatre                 ,"31 Coventry Street, London, United Kingdom, W1D 6AS"
https://www.londontheatre.co.uk/show/287-book-of-mormon                                              ,The Book of Mormon Tickets                                            ,'Satire',"7th November, 2024   ","26th April, 2025     ",               ,Prince of Wales Theatre                 ,"31 Coventry Street, London, United Kingdom, W1D 6AS"
https://www.londontheatre.co.uk/show/287-book-of-mormon                                              ,The Book of Mormon Tickets                                            ,'West End',"7th November, 2024   ","26th April, 2025     ",               ,Prince of Wales Theatre                 ,"31 Coventry Street, London, United Kingdom, W1D 6AS"
https://www.londontheatre.co.uk/show/313-wicked                                                      ,Wicked Tickets                                                        ,'Musicals',"15th September, 2021 ","4th January, 2026    ",               ,Apollo Victoria Theatre                 ,"17 Wilton Road, London, United Kingdom, SW1V 1LG"
https://www.londontheatre.co.uk/show/313-wicked                                                      ,Wicked Tickets                                                        ,'Family / Kid-friendly',"15th September, 2021 ","4th January, 2026    ",               ,Apollo Victoria Theatre                 ,"17 Wilton Road, London, United Kingdom, SW1V 1LG"
https://www.londontheatre.co.uk/show/313-wicked                                                      ,Wicked Tickets                                                        ,'Adventure',"15th September, 2021 ","4th January, 2026    ",               ,Apollo Victoria Theatre                 ,"17 Wilton Road, London, United Kingdom, SW1V 1LG"
https://www.londontheatre.co.uk/show/313-wicked                                                      ,Wicked Tickets                                                        ,'West End',"15th September, 2021 ","4th January, 2026    ",               ,Apollo Victoria Theatre                 ,"17 Wilton Road, London, United Kingdom, SW1V 1LG"
https://www.londontheatre.co.uk/show/23350-moulin-rouge-the-musical                                  ,Moulin Rouge! The Musical Tickets                                     ,'Musicals',"12th November, 2021  ","24th May, 2025       ",               ,Piccadilly Theatre                      ,"16 Denman Street, London, United Kingdom, W1D 7DY"
https://www.londontheatre.co.uk/show/23350-moulin-rouge-the-musical                                  ,Moulin Rouge! The Musical Tickets                                     ,'Drama',"12th November, 2021  ","24th May, 2025       ",               ,Piccadilly Theatre                      ,"16 Denman Street, London, United Kingdom, W1D 7DY"
https://www.londontheatre.co.uk/show/23350-moulin-rouge-the-musical                                  ,Moulin Rouge! The Musical Tickets                                     ,'Jukebox',"12th November, 2021  ","24th May, 2025       ",               ,Piccadilly Theatre                      ,"16 Denman Street, London, United Kingdom, W1D 7DY"
https://www.londontheatre.co.uk/show/23350-moulin-rouge-the-musical                                  ,Moulin Rouge! The Musical Tickets                                     ,'West End',"12th November, 2021  ","24th May, 2025       ",               ,Piccadilly Theatre                      ,"16 Denman Street, London, United Kingdom, W1D 7DY"
https://www.londontheatre.co.uk/show/23350-moulin-rouge-the-musical                                  ,Moulin Rouge! The Musical Tickets                                     ,'Romance',"12th November, 2021  ","24th May, 2025       ",               ,Piccadilly Theatre                      ,"16 Denman Street, London, United Kingdom, W1D 7DY"
https://www.londontheatre.co.uk/show/305-matilda-the-musical                                         ,Matilda The Musical Tickets                                           ,'Musicals',"16th September, 2021 ","24th May, 2026       ",               ,Cambridge Theatre                       ,"Seven Dials, 32-34 Earlham Street, London, United Kingdom, WC2H 9HU"
https://www.londontheatre.co.uk/show/305-matilda-the-musical                                         ,Matilda The Musical Tickets                                           ,'Comedy',"16th September, 2021 ","24th May, 2026       ",               ,Cambridge Theatre                       ,"Seven Dials, 32-34 Earlham Street, London, United Kingdom, WC2H 9HU"
https://www.londontheatre.co.uk/show/305-matilda-the-musical                                         ,Matilda The Musical Tickets                                           ,'Family / Kid-friendly',"16th September, 2021 ","24th May, 2026       ",               ,Cambridge Theatre                       ,"Seven Dials, 32-34 Earlham Street, London, United Kingdom, WC2H 9HU"
https://www.londontheatre.co.uk/show/305-matilda-the-musical                                         ,Matilda The Musical Tickets                                           ,'West End',"16th September, 2021 ","24th May, 2026       ",               ,Cambridge Theatre                       ,"Seven Dials, 32-34 Earlham Street, London, United Kingdom, WC2H 9HU"
https://www.londontheatre.co.uk/show/28638-mj-the-musical                                            ,MJ The Musical Tickets                                                ,'Musicals',"6th March, 2024      ",                       ,               ,Prince Edward Theatre                   ,"28 Old Compton Street, London, United Kingdom, W1D 4HS"
https://www.londontheatre.co.uk/show/28638-mj-the-musical                                            ,MJ The Musical Tickets                                                ,'Jukebox',"6th March, 2024      ",                       ,               ,Prince Edward Theatre                   ,"28 Old Compton Street, London, United Kingdom, W1D 4HS"
https://www.londontheatre.co.uk/show/28638-mj-the-musical                                            ,MJ The Musical Tickets                                                ,'West End',"6th March, 2024      ",                       ,               ,Prince Edward Theatre                   ,"28 Old Compton Street, London, United Kingdom, W1D 4HS"
https://www.londontheatre.co.uk/show/28638-mj-the-musical                                            ,MJ The Musical Tickets                                                ,'Biography',"6th March, 2024      ",                       ,               ,Prince Edward Theatre                   ,"28 Old Compton Street, London, United Kingdom, W1D 4HS"
https://www.londontheatre.co.uk/show/304-mamma-mia                                                   ,Mamma Mia! Tickets                                                    ,'Musicals',"25th August, 2021    ","27th September, 2025 ",               ,Novello Theatre                         ,"5 Aldwych, London, United Kingdom, WC2B 4LD"
https://www.londontheatre.co.uk/show/304-mamma-mia                                                   ,Mamma Mia! Tickets                                                    ,'Comedy',"25th August, 2021    ","27th September, 2025 ",               ,Novello Theatre                         ,"5 Aldwych, London, United Kingdom, WC2B 4LD"
https://www.londontheatre.co.uk/show/304-mamma-mia                                                   ,Mamma Mia! Tickets                                                    ,'Family / Kid-friendly',"25th August, 2021    ","27th September, 2025 ",               ,Novello Theatre                         ,"5 Aldwych, London, United Kingdom, WC2B 4LD"
https://www.londontheatre.co.uk/show/304-mamma-mia                                                   ,Mamma Mia! Tickets                                                    ,'Jukebox',"25th August, 2021    ","27th September, 2025 ",               ,Novello Theatre                         ,"5 Aldwych, London, United Kingdom, WC2B 4LD"
https://www.londontheatre.co.uk/show/304-mamma-mia                                                   ,Mamma Mia! Tickets                                                    ,'West End',"25th August, 2021    ","27th September, 2025 ",               ,Novello Theatre                         ,"5 Aldwych, London, United Kingdom, WC2B 4LD"
https://www.londontheatre.co.uk/show/304-mamma-mia                                                   ,Mamma Mia! Tickets                                                    ,'Romance',"25th August, 2021    ","27th September, 2025 ",               ,Novello Theatre                         ,"5 Aldwych, London, United Kingdom, WC2B 4LD"
https://www.londontheatre.co.uk/show/43486-my-master-builder                                         ,My Master Builder Tickets                                             ,'Plays',"17th April, 2025     ","12th July, 2025      ",               ,Wyndham's Theatre                       ,"32-36 Charing Cross Road, London, United Kingdom, WC2H 0DA"
https://www.londontheatre.co.uk/show/43486-my-master-builder                                         ,My Master Builder Tickets                                             ,'Stars on Stage',"17th April, 2025     ","12th July, 2025      ",               ,Wyndham's Theatre                       ,"32-36 Charing Cross Road, London, United Kingdom, WC2H 0DA"
https://www.londontheatre.co.uk/show/43486-my-master-builder                                         ,My Master Builder Tickets                                             ,'West End',"17th April, 2025     ","12th July, 2025      ",               ,Wyndham's Theatre                       ,"32-36 Charing Cross Road, London, United Kingdom, WC2H 0DA"
https://www.londontheatre.co.uk/show/308-the-phantom-of-the-opera                                    ,The Phantom of the Opera Tickets                                      ,'Musicals',"27th July, 2021      ","27th September, 2025 ",               ,His Majesty’s Theatre                   ,"57 Haymarket, London, United Kingdom, SW1Y 4QL"
https://www.londontheatre.co.uk/show/308-the-phantom-of-the-opera                                    ,The Phantom of the Opera Tickets                                      ,'Drama',"27th July, 2021      ","27th September, 2025 ",               ,His Majesty’s Theatre                   ,"57 Haymarket, London, United Kingdom, SW1Y 4QL"
https://www.londontheatre.co.uk/show/308-the-phantom-of-the-opera                                    ,The Phantom of the Opera Tickets                                      ,'Classic',"27th July, 2021      ","27th September, 2025 ",               ,His Majesty’s Theatre                   ,"57 Haymarket, London, United Kingdom, SW1Y 4QL"
https://www.londontheatre.co.uk/show/308-the-phantom-of-the-opera                                    ,The Phantom of the Opera Tickets                                      ,'West End',"27th July, 2021      ","27th September, 2025 ",               ,His Majesty’s Theatre                   ,"57 Haymarket, London, United Kingdom, SW1Y 4QL"
https://www.londontheatre.co.uk/show/308-the-phantom-of-the-opera                                    ,The Phantom of the Opera Tickets                                      ,'Romance',"27th July, 2021      ","27th September, 2025 ",               ,His Majesty’s Theatre                   ,"57 Haymarket, London, United Kingdom, SW1Y 4QL"
https://www.londontheatre.co.uk/show/8547-tina-the-musical                                           ,Tina - The Tina Turner Musical Tickets                                ,'Musicals',"5th August, 2021     ","25th October, 2025   ",               ,Aldwych Theatre                         ,"49 Aldwych, London, United Kingdom, WC2B 4DF"
